time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
0.06,  0.8806774616241455,-0.03029068745672697,-0.03084511682391181,  -0.471739649772644,  0.1672135453061743, -0.8616401457792813,  0.4898601529096159
0.21,  0.8799733805720236,-0.03417273769893836,-0.02846044931874561, -0.4729366890676033,   0.166873659143683, -0.8617095038718056,  0.4860785179046544
0.25,  0.8800120495721746,-0.03536681512241935,-0.02689088463550393, -0.4728687945701691,  0.1670119065968683, -0.8617405232556035,   0.484756817581481
0.35,  0.8803545795158447,-0.04039992480599325,-0.02466275426645967, -0.4719485612987816,  0.1688196822624305, -0.8609436798360516,  0.4843456880117741
0.38,  0.8808982844777171,-0.04066282639226032,-0.02728764997535185,  -0.470765511344744,  0.1713372091431797, -0.8595805621089615,  0.4913278397744057
0.41,  0.8810859926258962,-0.04219443448988397,-0.02853748594565353, -0.4702050092792157,  0.1723658245410377,  -0.859087190998683,  0.4849743455869704
0.44,  0.8811775360671277,-0.04441939049895421,-0.02849378925284132, -0.4698310411320539,  0.1734786800794501, -0.8582452675574036,  0.4821606655813204
0.59,  0.8807026946032652,-0.04940248056872448, -0.0278257553306637, -0.4702636723491725,  0.1750761501864277, -0.8565605786884342,  0.4838622567259298
0.66,  0.8800751533647635,-0.04693983724270506,-0.02909005685319435, -0.4716123198780349,  0.1759869306939384, -0.8552277363347049,  0.4794260609126177
0.72,  0.8799021475889208,  -0.044283127467658,-0.03013791783518924, -0.4721259966973808,  0.1759692216744112, -0.8539427952657324,  0.4683770597220588
0.91,   0.880350617075581,-0.04088862690021094,-0.03115340230658015, -0.4715298636231122,  0.1779751580486871, -0.8505125259427148,  0.4755083428956597
0.99,  0.8806580765426819,-0.03800075371884754,-0.03037825972532257,  -0.471247802999496,  0.1792098195045573, -0.8473809803532065,  0.4765365820813472
1.05,  0.8795578800122288,-0.03820421275337432,-0.02992558004723017, -0.4733105418791904,  0.1794979264692032, -0.8437123257104241,  0.4832002548967642
1.26,  0.8778467704201733,-0.03933565455226284,-0.02863259193987663, -0.4764640219171525,  0.1802370918777823, -0.8393196575768522,  0.4911770140052083
1.31,  0.8785472694295891,-0.04149888137948482,-0.02736118601847445, -0.4750620372967874,  0.1784739759060576, -0.8355450232681033,  0.4898723188674586
1.38,  0.8791790232387133,-0.04347864308797017,-0.02632161078499817, -0.4737732169052842,    0.17571344274867, -0.8315990712157861,  0.4853464403699259
1.51,  0.8798086327484067,-0.04615492136586441,-0.02482748581523936, -0.4724300207247966,  0.1730078704405944,  -0.826693283091986,  0.4828448268491414
1.64,  0.8798891869942451,-0.04607535965210557,-0.02466046152580201, -0.4722964927243449,  0.1692848126322354,   -0.82055380063641,  0.4871678103909881
1.71,  0.8803701570341651, -0.0456421984237087,-0.02622381497749623,  -0.471357108160643,  0.1647042174996415, -0.8157596697965961,  0.4877179893072203
1.85,  0.8809832604302602,-0.04754909051825318,-0.02882350086728239, -0.4698689393747542,  0.1592364786971801, -0.8099616413072421,  0.4932836982914259
1.92,  0.8820833396564034,-0.04999042746863253,-0.03124725971440928, -0.4673901832316306,  0.1521749001053548, -0.8062064108262885,  0.4834018836369819
2.05,  0.8828597152323305,-0.05341553761516005,-0.03380900476088491, -0.4653627513210504,  0.1459721481768858, -0.7997373612641639,  0.4913141717751497
2.19,  0.8824655528058478,-0.05604629790659132,-0.03318771823765398, -0.4658454373706588,  0.1382167666226027, -0.7937180901472953,  0.4895760907200943
2.25, 0.8828396635416909,-0.0576847523868676,-0.0326026060440382,-0.4649770999282055, 0.1309720145089766,-0.7898447215268515, 0.4815271468030001
2.39,  0.8842747457790537,-0.06296106482738206,-0.03303667030528309, -0.4615221471036676,  0.1220621086624339,  -0.782643265323544,  0.4728650133177171
2.53,  0.8849944507251266,-0.06660060103019844,-0.03132611672445729, -0.4597476395784545,  0.1139946423107416, -0.7750175580937489,  0.4827214044764341
2.58,  0.8851127596789102,-0.06780971619123199,-0.03014044903120044, -0.4594222828016651,  0.1070698127864737, -0.7710032649880884,  0.4844464274988773
2.64,  0.8857311770204165,-0.06937118753807525,-0.02990550771510592, -0.4580104983084275,  0.1006260865738613, -0.7664802786398841,  0.4847173953792047
2.85,  0.8866193993109461,-0.07340587694294004,-0.03103012275010103, -0.4555818093786189, 0.09318309113759084, -0.7584590609415978,  0.4827673982643728
2.89,   0.887140148405493,-0.07274247106301424,-0.03322749659758434, -0.4545182713812845, 0.08650331476661158, -0.7556148157152248,  0.4780481506600349
2.97,  0.8878905906005001,-0.07135691490668061,-0.03456075790858176, -0.4531711369777736, 0.08084491908739583,  -0.751109494415176,  0.4856727725910399
3.16, 0.8897414965619863,-0.0669079234908318,-0.0355571962770824,-0.4501323365650846,0.07464951130582781,-0.7384173384896441, 0.5027624601062474
3.24,  0.8902639297020494,-0.06503542379024219,-0.03476369695239823, -0.4494352568022871, 0.06889890374689046, -0.7350554077346774,   0.500397051057779
3.3,  0.8899695540818071,-0.06380676671221258,-0.03558078985674229, -0.4501299060062335, 0.06428394057961567, -0.7329712384626073,  0.5021615354491408
3.37,  0.8894779277479323,-0.06277497595827491,-0.03849222815860012, -0.4510063218768842, 0.05946855262268103, -0.7312462409554059,  0.5012737269595365
3.57,  0.8902895194998358,-0.05833493658115041,-0.04795708186732098, -0.4490899247371769, 0.05355261238874259, -0.7205736092005786,  0.4904043445538225
3.64,  0.8906549612006591,-0.05236368877513725,-0.05408125791369936, -0.4484049924876308, 0.04749043314786136, -0.7147741522436231,  0.4930401594044516
