time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
0.23,  0.8680490255355835, 0.00592789007350808,-0.01508050039410594, -0.4962129890918732,-0.04542886390951809,  -1.296086928136287,  0.7616548921780851
0.38,  0.8691116349842563,0.006339881848997808, -0.0143669383155228, -0.4943656193205588,-0.04542000704059564,  -1.296289719303116,  0.7589412995028305
0.59,  0.8717664557325164, 0.00746435687569641,-0.01266995456789041, -0.4896999131477101,-0.04549151750465322,  -1.296197076625473,  0.7528408632375931
0.75,  0.8744626707816987,0.008622707506109661,-0.01093891312925052, -0.4848917705568753,-0.04608584318416512,  -1.294781569306536,  0.7483746713960157
0.94,  0.8759231053946075,  0.0095225254198813,-0.01019818823290969, -0.4822478974053585,-0.04717430491402034,  -1.292341432819203,  0.7462245736575632
1.11,   0.8773042865502202, 0.009931838808227678,-0.009321541953639878,  -0.4797401993618333, -0.04918995210421237,   -1.288019497335319,   0.7450463404988873
1.3,   0.8780755790510961, 0.009904504806711401,-0.009629742433552524,  -0.4783214912262541, -0.05236694693013649,   -1.281302539413557,   0.7445984146258098
1.5,   0.8784652482001323, 0.009906651034637892,-0.009923548377812508,  -0.4775994051578989, -0.05651158608141576,   -1.272059064367742,   0.7450990609897865
1.73,  0.8788284667512025,0.009072590764845234,-0.01111077463772261, -0.4769211333764966,-0.06310718125828034,  -1.255487080533504,  0.7471320750087649
1.97,   0.878289247788264,0.007776358347590551, -0.0128183975107454, -0.4778935203633336,-0.06765408810407277,  -1.242464020090741,  0.7495418096856474
2.18,  0.8772890904379884,0.006607886473938118,-0.01493112604332605, -0.4796834912309795, -0.0731563732356923,   -1.22521521429897,  0.7526870084820625
2.42,  0.8752058898553605,0.004887077570738418,-0.01653174158088103, -0.4834423140409157,-0.08075967911656544,  -1.197103544676352,  0.7583504590340467
2.68,  0.8736571064176885,  0.0037418264053799,-0.01846815239575586, -0.4861760886116667,-0.08510841406130817,  -1.177706695225781,  0.7632023607913541
2.93,  0.8721354745328264,0.002103680775076278,-0.01907299154315684, -0.4888870137688476,-0.09148179096718911,  -1.146635807452237,  0.7713981187578175
3.17,  0.8703886371418934,0.001908186172926651,-0.01987094069856643, -0.4919594775234942,-0.09621051611234374,  -1.116782424132603,  0.7807052087589729
3.38,  0.8687778477290315,0.001248302827970782,-0.01953530322844893, -0.4948139727339578, -0.0985526590774502,  -1.097827708187114,  0.7880865225572248
3.64,  0.8678398729085335,0.001388257497762113,-0.01906940043449673, -0.4964749624582465, -0.1016929339380593,   -1.06425168237561,  0.8007606654091652
