time,wr1,wr2,wr3,wr4
1.94,-531.2517401945149, 529.9321807158108,-531.1777397105697, 530.0412368210859
2.01,-531.2726421678944, 529.9638649070587,-531.1156633014159,   530.09345046252
2.07,-531.1754209292218, 530.1389225431606,-530.9428309571853, 530.2550413902843
2.14,-531.0232296949388, 530.1445119331357,-530.8851567893149, 530.5337233146591
2.2,-530.9204514497279, 530.3939301976636,-530.9046336389833, 530.4352818274218
2.31,-530.6207169525778, 530.7426761328344,-530.5880749590211, 530.7780472223955
2.35,-530.7614157896787, 530.600770280982,-530.786192541225,530.6468233564342
2.42,-530.9684729101318,  530.403502437166,-530.9435814152999, 530.5336633781661
2.49,-530.9612116149605, 530.1474680905402,-531.0720724541283, 530.6415846874842
2.59,-530.9675627055016, 530.3309327590321,-531.0025307542968, 530.5521988017437
2.66,-530.7157900537132,  530.629985346543,-530.7294697710216, 530.8335447163009
2.7,-530.6626571679896, 530.6263472399803,-530.7153962545583, 530.8931182566694
2.77, -530.693342210236, 530.6080676991286,-530.7920306281403, 530.8258538126933
2.84,-530.7890926829924,  530.623931276743,-530.6725466184084, 530.8590004674227
2.9,-530.9164261876493, 530.6761140400647,-530.7055162598581, 530.6639487313279
2.98,-530.965222753688,530.4847012455891,-530.753055494871, 530.689090941165
3,-531.0922951780421, 530.3236393618063,-530.9885503093478, 530.4707471659274
3.07,-530.8508325942943, 530.2670087005025,-531.3027274759411, 530.4613286556234
3.14,-530.8972555058186, 530.2285211102655,-531.3233122978969, 530.4392780576324
3.19,-530.7425358344948,  530.508358329358,-531.0285417605656, 530.5042009290303
3.25,-530.6745691492773, 530.5543670971319,-530.9661438209936, 530.5548077486925
3.32,-530.7974132581056, 530.2104876923346,-531.0444627268265, 530.6457030935385
3.42,-530.8644523985221, 530.3043600030283,-530.9682642631052, 530.5078396947295
3.49,-530.711810029773,530.3455139230646,-531.021655680821,530.5679894737692
3.55,-530.7863005197158, 530.3211995979918,-531.0528484239602, 530.4682201538413
