time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
0.23,  0.8680490255355835,0.005927890073508024,-0.01508050039410591, -0.4962129890918732,-0.04542656987905502,  -1.296088457107544,  0.7616578936576843
0.38,  0.8688578009605408, 0.00634331488981843,-0.01468849834054708, -0.4948020875453949,-0.04516598582267761,  -1.296087265014648,  0.7575260996818542
0.59,  0.8709985017776489,0.007314584217965603,-0.01334188133478165, -0.4910489320755005,-0.04501129314303398,  -1.296292543411255,  0.7533774375915527
0.75,   0.873417854309082,0.008366911672055721,-0.01172655913978815, -0.4867573380470276,-0.04587592929601669,  -1.295279741287231,  0.7493805885314941
0.94,  0.8756375312805176,0.009202366694808006,-0.01043085381388664, -0.4827674627304077,-0.04722424224019051,  -1.292959332466125,  0.7475976943969727
1.11,   0.8774506449699402, 0.009824586100876331,-0.009703195653855801,  -0.4794670641422272, -0.04972582682967186,   -1.288922905921936,   0.7458855509757996
1.3,   0.8785899877548218, 0.009777071885764599,-0.009819804690778255,  -0.4773746728897095, -0.05287564918398857,   -1.282790899276733,   0.7456873059272766
1.5,   0.879141092300415, 0.00935682374984026,-0.01055761240422726, -0.4763516485691071,-0.05656848475337029,  -1.273823022842407,  0.7459492683410645
1.73,  0.8792032599449158,0.008510231971740723,-0.01191046461462975, -0.4762208759784698,-0.06086043640971184,   -1.26194953918457,  0.7473465800285339
1.97,  0.8786534070968628,0.007140283938497305,-0.01362583879381418, -0.4772111177444458,-0.06632187217473984,  -1.246066331863403,  0.7492069005966187
2.18,  0.8775331974029541,0.005707686766982079,-0.01573474332690239, -0.4792225956916809,-0.07228247821331024,  -1.226869940757751,  0.7523146271705627
2.42,  0.8760390877723694,0.004281040281057358, -0.0174911767244339, -0.4819026589393616,-0.07824883610010147,   -1.20538866519928,  0.7558505535125732
2.68,  0.8743793964385986,0.003057884750887752,-0.01881611533463001,    -0.4848672747612,-0.08463182300329208,   -1.18230140209198,  0.7608174681663513
2.93,  0.8727132678031921,0.002238403307273984, -0.0194291640073061, -0.4878401160240173,-0.09004686027765274,  -1.156890153884888,  0.7666791081428528
3.17,  0.8709639310836792,0.001762723666615784,-0.01936753280460835, -0.4909608662128448,-0.09479653835296631,  -1.129938244819641,  0.7740679979324341
3.38,  0.8693175315856934,0.001443789573386312, -0.0190395712852478, -0.4938840270042419,-0.09847835451364517,  -1.101564288139343,  0.7827790379524231
3.64,  0.8680334091186523, 0.00139685848262161,-0.01821940578520298, -0.4961684048175812, -0.1015659347176552,  -1.072711825370789,  0.7922394871711731
3.89,   0.867043673992157,0.001664656680077314,-0.01676465570926666, -0.4979461431503296, -0.1042628213763237,   -1.04341185092926,  0.8028812408447266
4.15,  0.8664180636405945,0.002008631359785795,-0.01536485739052296, -0.4990777373313904, -0.1061314716935158,  -1.015024542808533,  0.8143578171730042
4.33,  0.8662185072898865,0.002413699636235833,-0.01362107135355473, -0.4994728267192841, -0.1079943999648094, -0.9866604208946228,  0.8267440795898438
4.53,  0.8664687275886536,0.002695827279239893,-0.01227648928761482, -0.4990720450878143, -0.1100739687681198,  -0.958219587802887,  0.8402599096298218
4.78,  0.8671461343765259,0.002735045505687594,-0.01118305046111345, -0.4979196786880493, -0.1120795235037804, -0.9300662279129028,  0.8546059727668762
5.02,  0.8680790066719055,0.002681517507880926,-0.01038726698607206, -0.4963090717792511, -0.1142222508788109, -0.9023201465606689,  0.8704363107681274
5.19,  0.8691619038581848, 0.00223395531065762,-0.01022998429834843, -0.4944157004356384, -0.1172048673033714, -0.8741833567619324,  0.8871992826461792
5.43,  0.8701356649398804, 0.00135779264383018,-0.01090963650494814, -0.4926885366439819, -0.1205747798085213, -0.8460920453071594,  0.9057680368423462
5.65,   0.8709502816200256,0.0001932643353939056, -0.01206545252352953,  -0.4912219345569611,  -0.1239899843931198,  -0.8173184394836426,   0.9252457618713379
5.9,   0.8713770508766174,-0.001172554097138345, -0.01350873522460461,  -0.4904254078865051,  -0.1279262006282806,  -0.7873466610908508,   0.9446485638618469
6.16,   0.8714090585708618,-0.002704258309677243, -0.01527887862175703,  -0.4903105795383453,    -0.13141830265522,  -0.7565443515777588,   0.9651700258255005
6.41,   0.8709843754768372,-0.004432343412190676, -0.01722904853522778,  -0.4909874200820923,  -0.1350133270025253,  -0.7248458862304688,   0.9865127205848694
6.64,   0.8703480362892151,-0.006042274180799723, -0.01906784437596798,  -0.4920296669006348,  -0.1379346400499344,  -0.6918865442276001,    1.009699583053589
6.88,   0.8695164322853088,-0.007570954971015453, -0.02027523145079613,  -0.4934285283088684,  -0.1396338492631912,  -0.6580751538276672,    1.033640623092651
7.1,  0.8685466051101685,-0.00848192535340786,-0.02050715126097202, -0.4951093196868896,  -0.140129417181015, -0.6240671873092651,   1.058869123458862
7.31,   0.8676766157150269,-0.008865031413733959, -0.01970357075333595,  -0.4966582357883453,  -0.1392277181148529,   -0.589455246925354,    1.085513949394226
7.54,   0.8668299317359924,-0.008878909982740879,  -0.0181755293160677,  -0.4981924295425415,  -0.1371794492006302,  -0.5546046495437622,    1.111560225486755
7.79,   0.8660211563110352,-0.008516917005181313, -0.01638359762728214,  -0.4996652901172638,  -0.1336860358715057,  -0.5193682909011841,    1.138863325119019
8.03,   0.8653848767280579,-0.008104527369141579, -0.01430224906653166,  -0.5008370280265808,  -0.1292789429426193,  -0.4844770431518555,    1.167685747146606
