time,velX,velY,velZ,wYaw
0.1,  0.001137535944351599,-0.0001146430838710739,   0.03081306565866239,                     0
0.14,  0.002275071933268046,-0.0002292861722334797,   0.06162611969633154,-7.714133256374212e-12
0.2,  0.003462202392646921,-0.0003489282783550848,   0.08179233499171076, -0.001051645599989514
0.22,  0.004701423250354659,-0.0004733077178225634,   0.09314903223817009,-0.0008648165498769726
0.24,  0.001137547705835277,-0.0001146508751108509,    0.0308130662414924, -0.001075112544074674
0.31,  0.002638617808261729,-0.0002363438070915106,   0.04912342443079247,-0.0007969818289132358
0.36,  0.004646643574319738,-0.0003740141888340068,   0.05924892956058544,-0.0005350822422842605
0.42,  0.007036017200876473,-0.0004694441385204962,   0.06405987329906143,-0.0003547633971360313
0.48,   0.01064653788435438,-0.0005936754489750846,   0.06536057726002537,-0.0002000323908088842
0.51,   0.01520798144917385,-0.0007167889712543185,   0.06435917686719735, -0.000134340453298182
0.57,     0.020869967425746,-0.0008503371880120145,   0.06180638653283554,  0.000112750956472884
0.63,   0.02537214907297435,-0.0008394984692668855,   0.05821901853767289, 0.0001464666595878905
0.67,   0.03271420947330943,-0.0009408102035638709,   0.05400568815042427, 6.653619425999003e-05
0.7,  0.04117015774534055,-0.001047177672413837,  0.04938065540238661,9.815726950478405e-05
0.73,   0.05091044356472501, -0.001194057147688828,   0.04450633414495306,-1.846081714761732e-05
0.81,  0.05719540509875141,-0.001603774572511878,  0.03939651595822276, -0.01412600675621491
0.85,  0.06801908263494534, -0.00132150113160662,  0.03428756172629899,-0.002861123682036991
0.92,   0.07928617555991427, -0.001281177974678043,    0.0291443158243153,-0.0005309865232465786
0.96,  0.09066754650526865,-0.001405336793159615,  0.02397232323496826,-0.000119886420405961
1.01,    0.1036087374140999,-0.0007814630813969963,   0.01886131495429325,   0.01406460930141932
1.09,   0.1165785228058822,-0.002174339726556268,  0.01376678852567102, -0.01113935140419008
1.12,   0.1309356801216548,-0.002008319278436254,  0.00873560457509669, -0.00232023152380487
1.2,   0.1460822176498105,-0.001727449196628405, 0.003754940140896331,8.611680068633918e-05
1.25,   0.1606005328510418, -0.00129471759079108,-0.001220855737241007,7.739508686495574e-05
1.31,   0.1763817745083356,-0.001041378290340402,-0.006142619419070927,0.0004602550320290521
1.38,    0.1924271333146485,-0.0003268335210082568,  -0.01105317832872231, 0.0005176634213412963
1.43,   0.2084441507441821,0.0004390178406593104, -0.01595616563174001,0.0004631934551836073
1.5,   0.2229785106885221, 0.002326380809877488, -0.02088494574899534,0.0003251980001180607
1.57,  0.2392815443047605,0.003913547030109167,-0.02580986141862655,0.000528294369311273
1.63,   0.2553159331489458, 0.005832556988203817,  -0.0307637560074436,0.0002213256258612023
1.7,  0.2705238790719532,0.007728856922074972,-0.03577271031628827, 0.00108729574996482
1.76,  0.2754210078163489, 0.01111136158018415,-0.04096135485754138,0.001667341193601233
1.85,   0.2913114766553089,  0.01342991258508697, -0.04601855372339596,0.0002881517641957318
1.94, 0.3078105046449556,0.01724214743701845,-0.0511026683047824,0.01402036735302878
2.01,  0.3181064142714639, 0.02161010135956021,-0.05631279412372135,0.003060632470985157
2.07,   0.3331912171933605,  0.02509809462042294, -0.06154775126559468,0.0008983915479745295
2.14,   0.3473916059775446,  0.02871397945988544, -0.06687706114492535,0.0007127808606605031
2.2,   0.3592029242659533,  0.03528578744866107, -0.07229820348473927,0.0007451232351446335
2.31,  0.3712795474439771,  0.0400977283434196,-0.07784110114512617, 0.01464136795307336
2.35,  0.3829161521503088, 0.04461223572805116,-0.08352027325853943, 0.01567111809074527
2.42,  0.3915996168907799, 0.04858236970215413,-0.08928501563431604,0.002170779364543924
2.49,   0.3888690662151137,  0.05466993228811232, -0.09505399103434813,0.0002823668112945631
2.59,    0.3966758666482643,   0.05962028667367025,   -0.1009746230052192,-0.0001984510970772217
2.66,   0.4046455872529918,   0.0647024763499518,   -0.106953726782778,-0.000208601971853426
2.7, 0.4042945648845088,0.06927439975008706,-0.1128949619707474,0.01446828878704958
2.77, 0.4110631741764286, 0.0746545365704132,-0.1190556642013885,0.01481870956815385
2.84, 0.4191889138934849,0.08039350054937311,-0.1251729720160537,0.01720529708773995
2.9,  0.4240119733349633, 0.08571186134251801, -0.1313110272437686,0.003323999611108761
2.98,   0.4153494826102279,  0.08835744668541254,  -0.1372142538944985,0.0004871157302493712
3,    0.420288661057658,  0.09371795702492984,  -0.1435371465126309,0.0002785618328389051
3.07,    0.4248209865525885,   0.09903934605484223,   -0.1496983517811883,-0.0005066891376142115
3.14,    0.4285947841585858,      0.10420818650705,   -0.1558528702811757,-0.0005004238082956116
3.19, 0.4125596976706805, 0.1038309587344418,-0.1615120438629041,0.01359514548252458
3.25, 0.4148122876792238, 0.1082790976234464,-0.1678543342647822,0.01378539321325662
3.32,  0.4112981475579407,  0.1116331965827359, -0.1736599565096913,0.001120317378625053
3.42,   0.4104097673382411,   0.1143107474994722,  -0.1794865996061088,0.0001444721933389735
3.49,    0.4143523644640679,    0.1191064148155403,   -0.1856977413662515,-6.015873905186905e-05
3.55,    0.414654993821256,   0.1228562063578745,  -0.1919391743592476,6.730068333772151e-06
3.63,    0.4138755901828063,    0.1263657265158531,   -0.1978875009352872,-8.434643966616007e-05
3.67,    0.4026806555902759,     0.124527705250999,   -0.2031183347616951,-3.635701509906714e-05
3.74, 0.4031958996238373, 0.1272356864939299,-0.2090851686994714,0.01397087040062444
3.81, 0.4025704292104577,  0.129538669091172, -0.215196506385693,0.01392790047226692
