time,accX,accY,accZ,wRoll,wPitch,wYaw
0.79,-0.2841099996569828, 0.3767999995878722, -9.878470393373568,-0.0208272504645038, 0.0710466343073428,0.01328168524554053
0.83,  -0.2841099993607687,   0.3767999991115246,   -9.874498794111695,-0.003286711683748663,  0.04095897364942409,  0.03070052234245987
0.86, -0.2841099994437173,  0.3767999995194694,  -9.869866359169624,-0.01611324208461852,0.005534067879214865, 0.04814756716700521
0.9, -0.2841099968492188,  0.3768000012254939,  -9.866265845810053, 0.01293527531149194,-0.01515782841430564, 0.06559139522070596
0.93, -0.2841099931353412,  0.3768000039067697,  -9.864802542016346, 0.03375208898144039,-0.03519908328694599,   0.083031484441576
0.96,  -0.2841099913202104,   0.3768000009546874,   -9.864895920555313, 0.002786217816904748,-0.003398238845343082,   0.1021581779638075
1,   -0.2841099961587645,    0.3768000013862723,     -9.86661200305209, 0.0003385205308752259,-0.0009827433619053654,   0.06190280514745946
1.03,   -0.2841099995695544,    0.3767999999339408,    -9.867118587311905,  -0.03091562751576453,-0.0006551188430880904,   0.01203276735746522
1.07,  -0.2841099969771009,   0.3767999996944688,   -9.865428151204874,-0.004887884222882059,-0.000594266679995378, -0.02577879503702746
1.11,    -0.284109998665827,    0.3767999995429882,    -9.863442069089126, -0.000937531591396806,-0.0005417929098046544, -0.005020458791905619
1.14,   -0.2841099988744464,    0.3767999994132706,    -9.861352999651654,   0.06109738700609776,  -0.04656556783547772,-0.0009959751316835058
1.18,     -0.28410999882085,    0.3767999990888429,    -9.859860503449339,    0.1624095327825071,  -0.09938390133637676,-0.0002383521729830084
1.21, -0.2841099976165417,  0.3768000005845537,  -9.857891069161232,  0.1621375879223137,-0.06116413631885935, 0.01398612892400975
1.25, -0.2841099955359244,  0.3768000015097008,  -9.857671806807172,  0.1313745338154137,-0.00941724943959164, 0.03084288032701369
1.27,  -0.2841099946467687,   0.3768000026657463,    -9.85691163678637,  0.05013389147922574,-0.001679080978727747,  0.04816325035982465
1.3,   -0.2841099971254761,       0.3768000012135,     -9.85579346914378,   0.02220771340024801,-0.0002456365097206215,   0.03748161564258828
1.34, -0.2841099962569191,  0.3768000024865287,  -9.852473213440332, 0.02864113715756948,-0.01692134991244882, 0.04409767912129591
1.38, -0.2841099943554488,  0.3768000053544164,  -9.850351130741364, 0.06498690249116346,-0.06348399592352816, 0.05056923145236796
1.41, -0.2841099907556875,   0.376800008739381,  -9.847664316126542, 0.08612542154915037,-0.08615618553380576, 0.06598136164295525
1.44, -0.2841099857016673,  0.3768000117919774,  -9.845350845394874, 0.07403420876873187,-0.05889331073027318, 0.08308020805710695
1.47, -0.2841099855957984,  0.3768000107087695,  -9.845828811518505, 0.04160775426791331,-0.05476498375510096, 0.08639770947115524
1.5, -0.2841099903661385,  0.3768000067001933,  -9.844948842390938,0.006127318660332742, -0.0235824938923077, 0.07301243201173273
1.54, -0.2841099858657603,   0.376800012125933,  -9.845181585060061, 0.01619235474060298,-0.06471378899661227,  0.0844154783252393
1.57, -0.2841099824515467,  0.3768000129052396,  -9.843874123998722, 0.04827255218971867,-0.05552774713933605, 0.08666834085442757
1.6, -0.2841099906517579,  0.3768000051079464,  -9.841296033879171, 0.06815780740213701,-0.03885917012765348, 0.05901341466941189
1.63, -0.2841099927155241,  0.3768000044538748,  -9.840323079035139, 0.05580273018528199,-0.06686082064337993, 0.05357784638054254
1.66, -0.2841099977361961,  0.3767999997937082,  -9.841642829014532, 0.06897320913472274,-0.07110399969941714, 0.01034803036329638
1.7, -0.2841099975927459,   0.376799999134978,  -9.840309709484595,  0.0708800008999364,-0.04118001460456251,0.001985507226454279
1.73, -0.2841099934815705,   0.376799998911669,  -9.841858227885474, 0.04042683121636265,-0.03675695964938718,-0.02778548822081648
1.77, -0.2841099787896075,  0.3767999995205308,  -9.845535990684573, 0.03560341486889271,-0.06668099523191907,-0.06175352711707865
1.81,  -0.284109971509977,  0.3768000012420251,  -9.847012565159492,-0.02618075384967134,-0.05590590127493968,-0.06839031247049299
1.84, -0.2841099841313328,  0.3768000000990699,  -9.850745502051234,-0.06572625481078885,-0.06940670760561733,-0.04160208316648854
1.88, -0.2841099788975134,  0.3768000001885926,  -9.852522917509953,-0.04119598187733609,-0.07142077287295495,-0.05041023984556455
1.91,  -0.2841099953698958,   0.3767999993010003,   -9.850103771556176, -0.02187165595702719, -0.04104791503254925,-0.009866165159212707
1.95, -0.2841099784161626,  0.3768000006701352,   -9.84591986442407, 0.02637813613976213,-0.02142771725607721, -0.0581694103588551
1.98,  -0.2841099322411371,   0.3768000018991069,   -9.843162344938024,  0.09411503036347525,-0.003512837538097973,  -0.1237538356042764
2.02,  -0.284109879717963,  0.3767999950658998,  -9.844256178270337,  0.1191443473142326,-0.01629692523428679, -0.1646848799085029
2.05, -0.2841098547147643,  0.3767999943395373,  -9.846853784332094, 0.09224553536800791,-0.03346761058575387, -0.1727207709886953
2.07,  -0.2841098297010101,   0.3767999967123351,   -9.845888219378176,  0.07289417057362692,-0.005621535109418254,  -0.1882945567537864
2.11, -0.2841098137597617,  0.3767999978636164,  -9.845392838521251,0.009032449937939111,-0.01666945223479574, -0.1914233182451826
2.14, -0.2841097592122079,  0.3767999780413318,  -9.848279545770918,-0.03118426421136154,-0.07940609595368371, -0.2062585452944843
2.18, -0.2841095798948429,  0.3767999415127487,  -9.846404032343393,-0.03773821840623524, -0.1347550044319912, -0.2795640191477831
2.21, -0.2841095389801058,  0.3767999171115399,  -9.844913373462541,-0.05394922248668296, -0.1430649985420407, -0.2938299964454093
2.25, -0.2841094244197795,  0.3767998861460631,  -9.842992535501972,-0.02620339148944386, -0.1443948283243651, -0.3387736673036328
2.28, -0.2841092613973438,  0.3767998735505705,  -9.838929729979345,-0.02235955691678923,-0.09899604143225986, -0.4036832229562802
2.31, -0.2841090478436485,  0.3767998281128552,  -9.838004980277526,-0.03740337740938161,-0.06203461382887406, -0.4585040794805151
