time,wr1,wr2,wr3,wr4
3.97,-530.6250446327712,530.0628555865184,-530.887600403135,530.1914932631529
4.01,-530.6764088339426, 530.0533470396884,-530.8718080887925, 530.1216972767702
4.06,-530.5093334140225, 530.2187082335503,-530.8854282553687, 530.0815003504989
4.09,-530.5660700591757, 530.1970374364155,-530.8487344263917, 530.0472394125234
4.18,-530.5979021045704, 529.9799657754739,-530.9008113378447, 530.0999425196705
4.25,-530.5491015920561, 530.0557185431568,-530.9580685092008, 529.9547615945328
4.32,-530.6899748685374, 529.8664005982004,-530.8861493629981, 530.0248824060457
4.42, -530.889036326798, 529.9178111404224,-530.6683713736837, 529.9692153234095
4.49,-530.7326896077486, 529.9889819155172,-530.8244529210913, 529.8649353697679
4.53,-530.7824467891156, 529.9752666520409,-530.8170866982458, 529.7973141272604
4.59,-530.8701393135538, 529.8736531183894,-530.7333893303554, 529.8528989492316
4.66,-531.0186569740597, 529.9015404914409,-530.6555745918755, 529.7158391600732
4.71,-530.9766075644164, 529.8073100687822,-530.8133126771314,  529.669293992219
4.78,-530.8941808560618, 529.9404925699935,-530.8285374533291, 529.5762111113374
4.82,-530.9466664069013, 529.8912405157839,-530.7387174032127, 529.6613276688829
4.89,-531.0524158930884, 529.7820434957922,-530.7928428431395, 529.5808022992134
4.92,-530.9758345354292,  529.735432097965,-530.8934273164473, 529.5810951139611
4.99,-530.9667374489286, 529.7226048814456,-530.8810142075815, 529.5940428022401
5.08,-531.1043269761618,  529.850771209237,-530.7074949164884, 529.4819153917813
5.17,-531.0029172630919, 529.8131716367247,-530.7837352212023, 529.5261475298873
5.23,-531.0249978326648, 529.7373211283044,-530.8480847273428, 529.4906717044296
5.28,-531.0891732467657, 529.7632113017094,-530.8371047235157, 529.4222548597864
5.35,-530.9905595505288, 529.8184999878632,-530.9600878404772, 529.3474968588325
5.38,-531.0002670409439, 529.7490746376347,-530.9833074339988, 529.3752884906745
5.47,-531.2197027448694, 529.5596279925981,-531.0096561246938, 529.3051600770713
5.52,-531.2600900050826, 529.5176692101841,-531.0455412602167, 529.2660854907882
5.58,-531.2753459482878, 529.4919110203084,-530.9443281205399, 529.3905014972401
5.66, -531.254880584252, 529.6384475572414,-530.9383096785946, 529.2911162758417
5.73,-531.1108366631561, 529.7265241659692,-530.8419799112063, 529.4578562440433
5.81,-531.0966177702308,  529.455391053408,-530.9334687168529,  529.620656195792
5.84,-531.0898893032477, 529.4251330626927,-530.9787720042096, 529.6048902028999
5.88,-531.0801919197253, 529.6530332988002,-530.7140871456515, 529.7023198262682
5.95,-530.9639668490381, 529.9132754569755,-530.5808990483889, 529.7435348413496
5.99,-530.9019076509027,  529.926704377201,-530.5967469097588, 529.7994543369296
