time,velX,velY,velZ,wYaw
0.13,0,0,0,0
0.18,  0.4999972222247941,0.001666663580248695, -0.9991666682098754,                 0.1
0.25,   0.499988888930041,0.003333308642030186, -0.9983333456789849,                 0.1
0.31,  0.4999555562139879,0.006666469137558195, -0.9966667654312207,                 0.1
0.37,   0.499930557163051,0.008332947536222601, -0.9958335262318887,                 0.1
0.43,   0.499900003333289,0.009999333346666583, -0.9950003333266666,                 0.1
0.48, 0.4998222327569519,0.01333175314260537,-0.9933341234286972,                0.1
0.54, 0.4997750168744939,0.01499775010124793,-0.9925011249493758,                0.1
0.6, 0.4997222479414343,0.01666358041837679,-0.9916682097908114,                0.1
0.66,  0.499600053330489, 0.0199946670933171,-0.9900026664533412,                0.1
0.71, 0.4995306290103199,0.02165988643908845,-0.9891700567804553,                0.1
0.79, 0.4993751301974831,0.02498958463533918,-0.9875052076823303,                0.1
0.83, 0.4992890574325786,0.02665402648920612,-0.9866729867553967,                0.1
0.89,  0.499197437016617,0.02831817218749744,-0.9858409139062509,                0.1
0.94, 0.4991002699676022,0.02998200323972222,-0.9850089983801384,                0.1
1, 0.4988893003505612,0.03330864746169659,-0.9833456762691515,                0.1
1.07, 0.4987755001266398,0.03497142366876638,-0.9825142881656166,                0.1
1.1, 0.4986561579578486,0.03663381130482191,-0.9816830943475889,                0.1
1.13,   0.49853127517021,0.03829579189890664,-0.9808521040505467,                0.1
1.16, 0.4984008531513098,0.03995734698458642,-0.9800213265077067,                0.1
1.2, 0.4982648933502798,0.04161845810015508,-0.9791907709499224,                0.1
1.26, 0.4979763665059971, 0.0449392745990056,-0.9775303627004972,                0.1
1.31,   0.49766570746073,0.04825809380415991,-0.9758709530979199,                0.1
1.35,   0.49766570746073,0.04825809380415991,-0.9758709530979199,                0.1
1.41, 0.4973329300214959,0.05157476821308915,-0.9742126158934552,                0.1
1.47, 0.4971582514876509,0.05323225505031459,-0.9733838724748425,                0.1
1.52, 0.4969780489783484,0.05488915041858733,-0.9725554247907062,                0.1
1.59,  0.496792324495837,0.05654543590797556,-0.9717272820460121,                0.1
1.64, 0.4966010801037199,0.05820109311532451,-0.9708994534423374,                0.1
1.72, 0.4962020401517209,0.06151044910639225,-0.9692447754468037,                0.1
1.76, 0.4959942490256117,0.06316411111952336,-0.9684179444402379,                0.1
1.84, 0.4955621360170896,0.06646931131115696,-0.9667653443444213,                0.1
1.91, 0.4953378189359281,0.06812081276524706,-0.9659395936173765,                0.1
1.99, 0.4948726760818238,0.07142152664018142,-0.9642892366799092,                0.1
2.06, 0.4946318554771307,0.07307070238646118,-0.9634646488067691,                0.1
2.12, 0.4941337292913426,0.07636659987605965,-0.9618167000619702,                0.1
2.18, 0.4938764292449778,0.07801328499832882,-0.9609933575008356,                0.1
2.27, 0.4933453695397088, 0.0813040365155886,-0.9593479817422053,                0.1
2.32, 0.4930716157814625,0.08294806634670748,-0.9585259668266459,                0.1
2.37, 0.4927923834547805,0.08459117453349796, -0.957704412733251,                0.1
2.44, 0.4925076756622409,0.08623334281921946,-0.9568833285903902,                0.1
2.49, 0.4922174955672607,0.08787455295757463,-0.9560627235212127,                0.1
2.56, 0.4916207314276284,0.09115402586042909,-0.9544229870697853,                0.1
2.59, 0.4916207314276284,0.09115402586042909,-0.9544229870697853,                0.1
2.66, 0.4910021175586352,0.09442944748825011,-0.9527852762558748,                0.1
2.71, 0.4906846255295556, 0.0960655935750141,-0.9519672032124926,                0.1
2.76, 0.4906846255295556, 0.0960655935750141,-0.9519672032124926,                0.1
2.81, 0.4903616814541294,0.09770067226728241,-0.9511496638663586,                0.1
2.83, 0.4900332889206207,0.09933466539753044,-0.9503326673012344,                0.1
2.91, 0.4896994515778323, 0.1009675548102962,-0.9495162225948517,                0.1
2.96, 0.4893601731350645, 0.1025993223623805,-0.9487003388188093,                0.1
3.04, 0.4886653080890331, 0.1058594193742364,-0.9470702903128816,                0.1
3.09, 0.4886653080890331, 0.1058594193742364,-0.9470702903128816,                0.1
3.15, 0.4883097292064849, 0.1074877126107414,-0.9462561436946288,                0.1
3.19, 0.4879487246653027, 0.1091148115404346,-0.9454425942297824,                0.1
3.27,  0.487210454711908, 0.1123653541774143,-0.9438173229112927,                0.1
3.34, 0.4868331975026874, 0.1139887617675941,-0.9430056191162028,                0.1
3.38, 0.4864505310407252, 0.1156109028171493,-0.9421945485914252,                0.1
3.47, 0.4856689874260147, 0.1188513132135671,-0.9405743433932161,                0.1
3.53, 0.4848658586029198, 0.1220864413489617,-0.9389567793255187,                0.1
3.62,0.4840411802659221,0.1253161434403931,-0.937341928279803,               0.1
3.64,0.4840411802659221,0.1253161434403931,-0.937341928279803,               0.1
3.71,0.4831949890672567,0.1285402759460774,-0.935729862026961,               0.1
3.81,  0.482327322615282, 0.1317586955717673,-0.9341206522141159,                0.1
3.88,0.4818854481829453,0.1333657183444155,-0.933317140827792,               0.1
3.93, 0.4814382194728086, 0.1349712592771206,-0.9325143703614394,                0.1
3.97, 0.4809856414540754, 0.1365753005305559,-0.9317123497347219,                0.1
4.01, 0.4805277191553854, 0.1381778242820568,-0.9309110878589715,                0.1
4.06, 0.4800644576647599, 0.1397788127258206,-0.9301105936370895,                0.1
4.09, 0.4800644576647599, 0.1397788127258206,-0.9301105936370895,                0.1
4.18, 0.4791219377563487, 0.1429761125524178,-0.9285119437237908,                0.1
4.25, 0.4781581236184604, 0.1461670579086587,-0.9269164710456705,                0.1
4.32, 0.4776682445628029, 0.1477601033306697,-0.9261199483346647,                0.1
