time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
8.24,    0.861481785774231,-0.002167547820135951, -0.01904642395675182,  -0.5074254274368286,  -0.1258560717105865,  -0.5483459234237671,    1.197555661201477
8.46,   0.8607948422431946,-0.001579064875841141, -0.01695430278778076,  -0.5086661577224731,  -0.1188411861658096,  -0.5204899311065674,      1.2330002784729
8.7,   0.8603335618972778,-0.001180290477350354, -0.01516727451235056,  -0.5095034241676331,  -0.1110651642084122,  -0.4938028752803802,    1.269786238670349
8.93,    0.8604306578636169,-0.0008769204723648727,  -0.01346070226281881,   -0.5093879699707031,   -0.1034307852387428,   -0.4687228798866272,     1.307525277137756
9.13,    0.8613675832748413,-0.0004471525026019663,  -0.01167934667319059,   -0.5078466534614563,  -0.09516534954309464,   -0.4453577697277069,      1.34581196308136
9.37,    0.8629099130630493,-0.0002321433275938034, -0.009986832737922668,   -0.5052580237388611,  -0.08664515614509583,   -0.4242800176143646,     1.385679125785828
9.62,    0.8648535013198853,-0.0002317856415174901, -0.009012029506266117,   -0.5019423961639404,  -0.07919289916753769,   -0.4047825932502747,     1.427466630935669
9.87,    0.8669964671134949,-0.0006447624182328582, -0.008560623973608017,    -0.498239278793335,  -0.07201892882585526,   -0.3854441344738007,     1.469301581382751
10.12,   0.8690640330314636,-0.001484651118516922,-0.008881081826984882,  -0.4946165978908539, -0.06468157470226288,  -0.3660735189914703,    1.512642025947571
10.29,   0.8709505200386047,-0.002867514966055751,-0.009941942989826202,  -0.4912607669830322, -0.05813214555382729,  -0.3469509184360504,    1.556101679801941
10.5,   0.8725433349609375,-0.004346533212810755, -0.01122158952057362,  -0.4883874356746674, -0.05189762264490128,  -0.3269415497779846,    1.600467562675476
10.7,   0.8736346960067749,-0.005933890119194984, -0.01259319484233856,  -0.4863821864128113, -0.04535076022148132,  -0.3061746954917908,     1.64589786529541
10.99,   0.8741827607154846,-0.007658369373530149, -0.01407370809465647,  -0.4853315651416779, -0.03891825303435326,   -0.282648503780365,    1.690953731536865
11.26,   0.8740970492362976,-0.009259741753339767, -0.01512165740132332,  -0.4854265749454498,  -0.0311359316110611,  -0.2581132352352142,    1.737265467643738
11.5,  0.8733945488929749,-0.01082289963960648,-0.01617513038218021,  -0.486623227596283,-0.02314835600554943,  -0.231523871421814,   1.784160017967224
11.71,  0.8723517060279846, -0.0122818723320961,-0.01702789776027203,  -0.488426685333252,-0.01443110499531031, -0.2035049796104431,   1.831193327903748
11.92,   0.8711053133010864,  -0.0135215986520052, -0.01726612448692322,  -0.4906052947044373,-0.004311531782150269,  -0.1736514568328857,    1.879216909408569
