time,velX,velY,velZ,wYaw
0.13,  0.001137535944351599,-0.0001146430838710739,   0.03081306565866239,                     0
0.18,  0.002275071933268046,-0.0002292861722334797,   0.06162611969633154,-7.714133256374212e-12
0.25,  0.003453893872039665,-0.0003480902758058141,   0.08192250822857222, -0.001051645728293711
0.31,  0.001137547705835277,-0.0001146508751108509,    0.0308130662414924,  -0.00105263773940047
0.37,  0.002481628633364126,-0.0002353073253212797,   0.04913179517506869,-0.0007946861473093466
0.43,   0.00402047819244477, -0.000362239749549607,   0.05927529079250993,-0.0005739641766393767
0.48,  0.005679449565746706,-0.0004424303324037249,   0.06407756563040948,-0.0003649098315560207
0.54,  0.007860091309519078,-0.0005617570329023599,    0.0653624708805432,-0.0001768252384079054
0.6,    0.0107671564663587, -0.000674691482236153,   0.06434008101118367,-0.0001369981563161579
0.66,   0.01439497229967616,-0.0008220655786744315,   0.06176068937945491,  6.51940173777749e-05
0.71,   0.01755316536673437,-0.0007571403494018795,   0.05815920080297679, 0.0001359207273801119
0.79,   0.02263438789744335,-0.0008396497335087119,   0.05390226498435726, 0.0001425675319819905
0.83,  0.02869200703072036,-0.000934127378044297,  0.04922499159320023,0.0001149476046244946
0.89,   0.0356000886139476,-0.001023054014368491,  0.04427778655460113,0.0001871348174298606
0.94,  0.04063839692824295,-0.001798887286397369,  0.03914668048173538,6.852333652158495e-05
1,  0.04911939174053893,-0.001963776329620267,  0.03396061391227681,6.047541433956604e-05
1.07,  0.05919740887263802,-0.001906322684168753,  0.02875406960392574,  0.01410893149725135
1.1, 0.06955215751759515,-0.00206988610815199, 0.02352856142143735, 0.01428374632069893
1.13,  0.07546515136549747,-0.003693339215927575,  0.01825146231816467, 0.001712314916791605
1.16,  0.08741208180425145,-0.004065334537305939,  0.01308510588602369, 0.001721325687305249
1.2,   0.1016013465128474, -0.00455520748892235, 0.008007054218811108,0.0002816147741610714
1.26,    0.1172207512731229, -0.005178942765781057,  0.003009272177355052,-2.981258794825708e-05
1.31,   0.1224220966885741,-0.007026279637080514,-0.002143646649700705, -0.01414980668593634
1.35,   0.1394487132761823,-0.006428525121668545,-0.007036713354072948,-0.002877754597954399
1.41,  0.1567680346912348, -0.0077049592004461,-0.01189896779412874,-0.01478956477745298
1.47,   0.1660277660654135,-0.007099826370471233, -0.01684751832761296,-0.002741413232667597
1.52,   0.1818606333063583,-0.007064540107679339, -0.02171755775317785,-0.001951498873027628
1.59,    0.2019851383012254, -0.007115809821178207,  -0.02646207151746414,-0.0001051848364285829
1.64,   0.2182454034332981,-0.006992710698272579, -0.03132570356510762,0.0003891574940530398
1.72,   0.2401944988567268,-0.006343650610604636, -0.03603995161826143,0.0008147582731437547
1.76,   0.2333802515083748,-0.005293353986581596,  -0.0411933341596474,0.0002545135897793103
1.84,   0.2536210283894131,-0.004578337970460529, -0.04598442791301337,7.368478090680588e-05
1.91,    0.275776631510783,-0.003491832129438261, -0.05076686600118646,0.0003803911091372265
1.99,   0.2769920046323014,-0.002557948794359365, -0.05587940789762734,   0.0013123054059067
2.06,    0.2934513609371302,-0.0008774143844400087,  -0.06091021631615249,  0.002098996727343296
2.12,   0.3137530176973441, 0.001038511987590049, -0.06585644373176815,0.0004248600037938112
2.18,   0.3356753938766749, 0.003543309980545722, -0.07086086882534194,0.0007287017598693228
2.27,  0.3271115424853331,0.006528855439829252,-0.07632735412930126,0.001023810701274193
2.32,   0.3463712464704146, 0.009229528317564302, -0.08156208781897277,0.0005243417636898666
2.37,   0.3609873511914065,   0.0120345234129191, -0.08701822304879199,0.0005649603077377658
2.44,  0.3798565088917543, 0.01526117786545356,-0.09239901803061287,0.000317338307188732
2.49,  0.3605264993673596, 0.01798916527515306,-0.09815920786535721,0.000330071260046616
2.56,   0.3759726395931367,  0.02175841320176034,  -0.1038005004063637,0.0004249766585782925
2.59,  0.3871813451455017, 0.02567876680460967, -0.1096679930014819,0.001312907815218121
2.66,   0.4015039410074842,  0.03018079171730723,  -0.1154527025839885,0.0007499735098760129
2.71,   0.3783299542193212,  0.03394383667207156,  -0.1213145253565809,0.0006457638132828072
2.76,  0.3867105614470607, 0.03839510304265072, -0.1274318791151803,0.001061066686476967
2.81,    0.3950861246844433,   0.04311676480343758,   -0.1333712941624582,-3.531468380353495e-05
2.83,   0.4015980601811202,  0.04793924847636653,  -0.1396140933243184,0.0002122723211055815
2.91,   0.4079787907667322,  0.05319008222538979,  -0.1455429307225474,0.0002815488727995758
2.96,   0.4128744630596868,   0.0584194349082658,  -0.1519065355889303,0.0006195583987648321
3.04,   0.3514321459058405,  0.05669197324830549,  -0.1563670736486266,0.0002679284851037751
3.09,    0.354558493395604,  0.06212993298669524,  -0.1626139058449046,0.0002339175807044453
3.15,   0.3618942565869758,  0.06853935903786193,  -0.1685347459120802,-0.000290932056508407
