time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
0.31,  0.8680490255355835, 0.00592789007350808,-0.01508050039410594, -0.4962129890918732,-0.04542886390951809,  -1.296086928136287,  0.7616548921780851
0.46,  0.8684319652838641,0.006078381760296681, -0.0148259500562879, -0.4955483516297255,-0.04550187644753376,  -1.296133635299608,  0.7581067035121755
0.67,  0.8701125813304573,0.006774469148542461,-0.01375760407812651, -0.4926133710709255,-0.04602712158800282,   -1.29578115514697,  0.7508964867854089
0.89,  0.8726867844141154,0.007827778608428204,-0.01212484540999423, -0.4880660743838078,-0.04651902120504285,  -1.294754002818528,  0.7452934620601275
1.11,  0.8750932111483523,0.008508704249521271,-0.01025283277721478, -0.4837699410088743, -0.0478057851723431,  -1.292134816824402,  0.7416680885719332
1.27,   0.8772515471384633, 0.009791960021386159,-0.008533714441542856,   -0.479854164230728, -0.05025661217416615,   -1.287257994050512,    0.739778687455679
1.46,   0.8779183984623247,  0.01062074234103455,-0.008665976872177211,  -0.4786129845375612, -0.05289583949087917,   -1.281958698510584,   0.7390660760325225
1.73,  0.8789164146744131, 0.01066207161804394,-0.00910642428888786, -0.4767686356410054,-0.06009283456503949,  -1.265720800932944,  0.7403382897704214
1.97,  0.8792177924580868,   0.010176987681351,-0.01001139317478864, -0.4762050787246921, -0.0634734061582861,  -1.257940398432394,  0.7415858401229762
2.21,  0.8788983459934971,0.009199808373909935,-0.01180308940437322, -0.4767732696638086,-0.07109878771856676,  -1.239655934338086,  0.7448962327347038
2.45,  0.8773020085132193,0.007908617470540225,-0.01459704054534172, -0.4796504651152982,-0.07835699038139626,  -1.219431420065787,  0.7495721485603848
2.68,  0.8749618810772424,0.006239325846582155,-0.01679331249637656, -0.4838592406679662,-0.08498818674533373,  -1.198915765853753,  0.7555985101177497
2.97,  0.8713994050584726,0.003711825489330522,-0.02089529927209804,  -0.490113954436348,-0.09473203198416498,  -1.161731182675511,  0.7684236675747192
